Pred. Values,New Pred. Values,Actual Values
34.87,35.03,31
29.62,31.05,38
49.92,48.26,63
32.15,32.12,27
30.47,30.94,40
29.94,30.2,26
27.7,27.92,21
20.61,19.68,22
34.84,35.52,33
23.26,24.57,32
29.26,28.57,28
28.76,28.06,23
32.0,32.31,32
31.52,31.7,32
38.58,39.03,45
19.14,19.18,17
34.92,35.47,22
14.44,15.03,17
41.84,42.18,43
22.55,22.07,17
26.07,24.2,28
32.72,32.33,15
20.5,21.7,23
27.18,25.02,17
24.61,23.69,18
31.44,32.04,27
17.1,17.5,13
21.73,23.5,12
29.26,27.81,20
44.47,40.75,40
38.86,38.15,42
34.42,33.37,22
21.79,22.73,23
32.04,30.38,32
34.09,39.86,48
14.34,14.83,20
12.28,12.4,13
34.91,35.33,36
37.07,37.27,31
33.19,32.76,33
34.92,35.26,45
30.2,28.94,34
13.1,12.73,6
26.3,27.15,24
34.31,34.37,40
35.85,35.24,37
30.71,32.55,42
34.55,34.6,37
29.4,29.01,29
39.2,38.98,30
31.1,30.49,22
21.35,21.3,11
32.65,31.71,24
17.45,17.19,21
30.8,32.31,32
32.14,32.17,31
31.51,31.39,35
35.5,35.6,38
37.6,38.58,50
39.0,38.35,53
12.4,14.12,13
34.3,31.98,40
38.68,36.97,31
26.77,30.79,18
30.53,30.82,38
20.51,22.04,22
36.45,36.27,25
24.67,22.97,19
27.11,25.46,23
33.44,31.42,35
11.82,12.4,11
39.84,39.96,43
12.96,12.74,7
37.4,38.38,31
30.23,30.7,26
41.46,42.96,38
31.56,31.56,41
60.64,56.69,48
31.6,31.98,30
16.78,15.11,23
35.95,35.72,37
24.91,25.74,23
36.01,36.31,40
20.46,20.86,27
13.22,13.06,19
33.39,33.05,20
13.29,13.17,15
35.85,36.24,38
32.3,32.14,31
36.47,36.34,40
14.85,14.51,13
35.1,36.48,36
29.24,30.69,24
13.48,14.4,18
32.69,33.4,26
38.92,38.87,37
30.96,32.01,31
26.17,26.68,30
36.0,36.71,40
17.87,17.23,20
13.21,12.44,13
12.1,12.33,9
13.74,12.8,12
30.93,31.2,36
31.78,32.35,30
36.55,36.78,41
29.9,31.16,29
31.21,31.48,33
30.65,31.46,27
13.3,12.77,12
31.1,32.07,21
12.83,13.14,4
32.52,33.39,23
45.61,43.87,53
38.97,37.35,38
30.2,30.0,38
22.14,22.19,34
37.1,35.57,24
30.57,29.98,22
39.29,38.72,34
13.99,13.81,9
54.08,52.89,46
37.56,35.34,30
26.64,26.38,36
39.04,40.72,37
37.98,37.93,35
39.65,38.21,44
19.36,19.05,17
30.72,30.97,33
32.83,31.87,34
38.92,37.94,36
41.01,41.45,63
34.02,34.12,30
32.95,32.25,34
15.49,15.43,9
33.49,34.57,41
28.53,28.33,29
32.35,30.51,27
41.04,41.48,25
28.38,29.06,26
40.67,39.14,37
48.43,47.47,70
35.53,35.33,38
13.05,12.96,11
22.36,22.85,23
13.11,13.43,13
21.79,23.23,11
35.12,35.99,25
12.68,12.09,17
36.55,34.96,35
29.27,28.3,19
13.08,13.22,11
27.58,26.83,28
29.73,30.92,27
36.08,35.6,38
32.51,30.87,35
31.13,30.21,32
33.11,32.51,32
33.02,33.37,33
35.24,34.06,31
13.26,12.29,10
32.13,30.94,24
36.45,37.46,37
34.87,35.12,35
14.4,14.83,7
42.14,39.78,34
40.34,40.14,32
41.94,41.61,45
39.59,39.42,38
30.64,30.5,29
34.98,36.16,25
37.35,37.9,36
18.44,17.05,13
13.73,14.01,5
30.12,28.45,26
38.15,38.74,43
30.92,30.94,36
32.58,32.82,26
36.58,36.46,28
32.27,31.91,22
51.18,48.97,53
13.14,12.93,11
41.09,41.3,43
38.02,36.9,35
32.38,33.43,32
14.26,16.44,19
34.53,35.72,25
33.97,36.26,46
30.93,31.18,28
29.48,29.83,28
29.83,30.05,34
31.58,31.59,35
33.13,31.6,27
20.29,20.78,16
33.29,34.43,34
14.05,13.93,14
33.18,33.82,28
36.07,36.11,34
34.13,35.12,43
12.67,12.56,14
21.29,21.56,19
12.77,13.82,15
36.83,36.75,29
57.16,56.96,62
32.86,34.39,34
42.17,42.75,40
29.09,28.83,14
12.07,12.45,10
36.62,37.59,33
32.82,33.86,21
39.66,39.14,41
33.96,33.16,24
30.62,31.86,46
21.41,21.54,18
16.8,16.97,13
31.8,31.04,48
26.64,27.08,23
13.71,13.96,11
24.75,25.58,17
30.42,31.12,22
17.99,18.32,18
28.28,29.75,32
35.46,34.23,31
33.77,32.61,37
16.31,16.01,14
44.24,42.17,54
46.87,47.83,54
32.18,33.19,38
29.05,29.81,30
13.32,13.0,13
12.48,12.81,9
34.81,36.0,39
32.72,32.04,38
19.12,20.26,17
20.86,22.33,22
19.08,20.18,32
31.58,32.21,41
12.2,12.55,13
33.09,33.54,34
12.87,13.24,14
40.58,40.38,37
14.2,13.71,8
32.79,31.46,22
29.44,29.04,33
34.77,35.34,40
21.69,22.56,20
25.81,24.54,11
35.56,37.34,34
29.73,28.83,25
32.24,32.96,28
35.42,35.9,32
33.55,33.04,42
32.12,30.8,31
31.74,32.88,21
25.91,25.44,24
31.8,31.46,30
22.68,22.53,28
41.47,41.46,41
31.83,32.12,31
30.93,32.22,32
26.58,27.48,30
12.78,12.84,11
39.46,37.66,28
19.82,19.24,14
11.61,12.82,8
39.12,37.71,40
34.76,35.88,33
39.03,39.09,29
34.43,35.16,41
37.68,38.13,40
