Pred. Values,New Pred. Values,Actual Values
32.0,34.56,30
19.0,19.28,36
34.0,26.55,37
33.0,37.43,35
35.0,37.94,44
20.0,16.77,17
35.0,29.55,33
48.0,32.84,34
49.0,41.15,36
46.0,47.85,63
28.0,33.46,30
32.0,33.41,34
15.0,16.77,9
20.0,35.92,41
20.0,26.34,29
34.0,32.84,27
40.0,41.15,25
28.0,32.04,26
43.0,32.25,37
45.0,47.85,70
27.0,34.56,38
18.0,12.83,11
25.0,23.59,23
18.0,13.87,13
23.0,20.72,11
49.0,36.55,25
17.0,12.83,17
21.0,33.41,35
26.0,26.55,19
8.0,12.83,11
23.0,26.34,28
40.0,29.69,27
32.0,34.56,38
37.0,29.69,35
39.0,31.1,32
23.0,32.84,32
36.0,32.81,33
27.0,32.25,31
11.0,12.83,10
29.0,31.62,24
23.0,37.43,37
32.0,41.15,35
17.0,12.83,7
35.0,41.15,34
35.0,41.15,32
54.0,33.41,45
51.0,40.7,38
26.0,31.62,29
46.0,32.25,25
38.0,37.96,36
13.0,20.72,13
12.0,12.83,5
28.0,26.55,26
36.0,41.15,43
24.0,31.1,36
32.0,34.56,26
37.0,36.55,28
27.0,31.62,22
43.0,57.31,53
19.0,12.83,11
40.0,41.15,43
45.0,37.96,35
32.0,34.56,32
17.0,13.87,19
30.0,32.84,25
49.0,37.96,46
48.0,32.84,28
35.0,26.34,28
37.0,29.55,34
30.0,32.81,35
33.0,34.56,27
15.0,20.72,16
24.0,26.55,34
9.0,18.63,14
34.0,37.43,28
32.0,37.96,34
36.0,41.15,43
5.0,12.83,14
18.0,20.72,19
11.0,12.83,15
36.0,37.43,29
59.0,57.31,62
23.0,34.47,34
38.0,47.85,40
20.0,29.69,14
15.0,12.83,10
42.0,37.94,33
31.0,32.25,21
34.0,41.15,41
42.0,34.56,24
27.0,31.1,46
15.0,22.79,18
15.0,18.2,13
39.0,35.92,48
26.0,26.34,23
15.0,12.83,11
27.0,19.28,17
36.0,32.81,22
18.0,18.63,18
18.0,33.41,32
41.0,34.56,31
34.0,32.81,37
11.0,16.77,14
43.0,45.62,54
44.0,45.62,54
27.0,32.81,38
26.0,31.59,30
15.0,12.83,13
6.0,12.83,9
42.0,35.92,39
41.0,32.84,38
18.0,16.77,17
33.0,22.79,22
25.0,20.72,32
38.0,34.56,41
15.0,12.83,13
36.0,34.56,34
16.0,12.83,14
38.0,41.15,37
21.0,13.87,8
36.0,35.92,22
34.0,29.55,33
27.0,37.43,40
15.0,22.79,20
32.0,26.34,11
24.0,41.15,34
26.0,29.69,25
33.0,32.81,28
29.0,37.43,32
28.0,34.56,42
25.0,29.55,31
26.0,32.84,21
20.0,26.55,24
50.0,31.59,30
21.0,22.79,28
37.0,41.15,41
26.0,31.1,31
32.0,34.56,32
30.0,18.63,30
7.0,12.83,11
36.0,40.7,28
21.0,19.28,14
19.0,13.87,8
30.0,40.7,40
38.0,35.92,33
35.0,41.15,29
32.0,36.55,41
65.0,40.7,40
45.0,37.94,35
47.0,57.31,33
24.0,16.77,17
27.0,31.62,39
20.0,12.83,16
31.0,34.29,25
30.0,32.84,29
48.0,32.84,25
23.0,37.43,19
43.0,41.15,42
29.0,34.56,37
23.0,16.77,22
55.0,52.39,37
40.0,41.15,37
28.0,16.77,19
33.0,30.7,24
33.0,26.55,30
12.0,12.83,18
38.0,34.56,39
40.0,33.46,28
39.0,37.94,34
23.0,24.6,22
44.0,31.62,37
